;Año;Género F/M/Mixto;Grupo/solista;Género musical;Nacionalidad;¿Aparece en top 20 NACIONAL antes del festival?;¿Aparece top 100 NACIONAL antes del festival? TOPCHARTS;¿Cuántas veces aparece?;Posición en el chart;Peak de rating;Gaviotas;Antorchas;¿Aparece top 20 después del festival?;¿Aparece top 100 después del festival?;¿Cuántas veces aparece?;Chart;¿Subió o bajó?;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mora ;2024;Hombre;Solista;Urbano;Puerto Rico;si;PENDIENTE;2;14, 15;PENDIENTE;2;No se dan;si;;2;13,15;Subió;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anitta;2024;Mujer;Solista;Pop funk ;Brasil;no;PENDIENTE;0;0;PENDIENTE;2;No se dan;no;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Los Bunkers;2024;Hombre;Grupo;Rock  Alternativo;Chile;no;PENDIENTE;0;0;PENDIENTE;2;No se dan;no;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Young Cister;2024;Hombre;Solista;Urbano;Chile;no;PENDIENTE;0;0;PENDIENTE;2;No se dan;no;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trueno;2024;Hombre;Solista;Hip Hop / Rap;Argentina;no;PENDIENTE;0;0;PENDIENTE;2;No se dan;no;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maria Becerra;2024;Mujer;Solista;Pop ;Argentina;no;PENDIENTE;0;0;PENDIENTE;2;No se dan;no;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Karol G;2023;Mujer;Solista;Urbano ;Colombia;no;PENDIENTE;0;0;PENDIENTE;2;No se dan;no;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paloma Mami;2023;Mujer;Solista;Urbano ;Chile;no ;PENDIENTE;0;0;PENDIENTE;2;No se dan;no;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tini;2023;Mujer;Solista;Pop ;Argentina;no;PENDIENTE;0;0;PENDIENTE;2;No se dan;no;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emilia;2023;Mujer;Solista;Pop ;Argentina;no;PENDIENTE;0;0;PENDIENTE;2;No se dan;no;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alejandro Fernandez;2023;Hombre;Solista;Ranchera / pop latino;México;no ;PENDIENTE;0;0;PENDIENTE;2;No se dan;no;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Los Jaivas;2023;Mixto;Grupo;Rock folclórico;Chile;no ;PENDIENTE;0;0;PENDIENTE;2 (+ llave de la Ciudad);No se dan;no;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fito Paez;2023;Hombre;Solista;Rock;Argentina;no ;PENDIENTE;0;0;PENDIENTE;2;No se dan;no;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rels B;2023;Hombre;Solista;Urbano;España;no ;PENDIENTE;0;0;PENDIENTE;2;No se dan;no;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Christina Aguilera;2023;Mujer;Solista;Pop;Estados Unidos;no ;PENDIENTE;0;0;PENDIENTE;2;No se dan;no;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polima Wescoast;2023;Hombre;Solista;Trap;Chile;si;PENDIENTE;2;6,12;PENDIENTE;2;No se dan;si;;2;7,17;Bajó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Camilo;2023;Hombre;Solista;Pop ;Colombia;no ;PENDIENTE;0;0;PENDIENTE;2;No se dan;no;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nicki Nicole;2023;Mujer;Solista;Urbano;Argentina;no;PENDIENTE;0;0;PENDIENTE;2;No se dan;no;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ricky Martin;2020;Hombre;Solista;Pop  Latino;Puerto Rico;no;No;0;0;PENDIENTE;2;No se dan;no;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
