Artista;Año;Género F/M/Mixto;Grupo/solista;Género musical;Nacionalidad
Pablo Alborán;2016;Hombre;Solista;Pop;España
Nicky Jam;2016;Hombre;Solista;Reggaeton;Estados Unidos
Wisin ;2016;Hombre;Solista;Reggaeton;Puerto Rico
Don Omar ;2016;Hombre;Solista;Reggaeton;Puerto Rico
Luis Fonsi;2015;Hombre;Solista;Pop latino;Puerto Rico
Yandel;2015;Hombre;Solista;Reggaeton;Puerto Rico
Ricardo Arjona ;2015;Hombre;Solista;Pop latino;Guatemala
Reik ;2015;Hombre;Grupo;Pop latino;México
Alejandro Fernández ;2015;Hombre;Solista;Ranchera / pop latino;México
Nicole;2015;Mujer;Solista;Pop rock;Chile
Emmanuel ;2015;Hombre;Solista;Balada romántica;México
Vicentico;2015;Hombre;Solista;Rock pop;Argentina
Pedro Aznar;2015;Hombre;Solista;Rock / jazz;Argentina
Cultura Profética ;2015;Hombre;Grupo;Reggae / salsa / hip hop / jazz;Puerto Rico
Romeo Santos ;2015;Hombre;Solista;Bachata;Estados Unidos 
Noche de Brujas ;2015;Hombre;Grupo;Cumbia ;Chile
Yusuf Cat Stevens ;2015;Hombre;Solista;Folk / rock / pop;Reino Unido
Nano Stern ;2015;Hombre;Solista;Jazz / trova / folk / rock ;Chile
Óscar D'León ;2015;Hombre;Solista;Salsa;Venezuela
Ricky Martin ;2014;Hombre;Solista;Pop latino;Puerto Rico
Los Tres;2014;Hombre;Grupo;Rock;Chile
Laura Pausini;2014;Mujer;Solista;Pop rock / balada ;Italia 
Fito Páez;2014;Hombre;Solista;Rock;Argentina
Ana Gabriel ;2014;Mujer;Solista;Pop latino / balada romántica / ranchera;México
Raphael;2014;Hombre;Solista;Balada;España
La Ley;2014;Hombre;Grupo;Rock;Chile
Carlos Vives ;2014;Hombre;Solista;Pop tropical;Colombia
Gepe;2014;Hombre;Solista;Folclore / pop;Chile
Yandar & Yostin;2014;Hombre;Duo;Reggaeton urbano;Colombia
Rod Stewart ;2014;Hombre;Solista;Rock ;Inglaterra
Paloma San Basilio ;2014;Mujer;Solista;Balada / copla;España
La Sonora Palacios  ;2014;Hombre;Grupo;Cumbia ;Chile
Jesse & Joy;2014;Mixto;Duo;Pop;México
Melendi;2014;Hombre;Solista;Pop;España
Tommy Torres;2014;Hombre;Solista;Pop;Puerto Rico
Alexis & Fido;2014;Hombre;Duo;Reggaeton;Puerto Rico
Maná;2013;Hombre;Grupo;Rock;México
Chino & Nacho;2013;Hombre;Duo;Pop latino / reggaeton;Venezuela
Romeo Santos ;2013;Hombre;Solista;Bachata;Estados Unidos
Daddy Yankee;2013;Hombre;Solista;Reggaeton;Puerto Rico
Miguel Bosé ;2013;Hombre;Solista;Pop / baladas;España
Jonas Brothers;2013;Hombre;Grupo;Pop;Estados Unidos
31 Minutos;2013;Mixto;Grupo;Rock / funk / folclore / electrónica;Chile
Francisca Valenzuela ;2013;Mujer;Solista;Pop rock;Chile
Jorge González;2013;Hombre;Solista;Pop rock;Chile
Elton John ;2013;Hombre;Solista;Rock / pop;Inglaterra
Albert Hammond;2013;Hombre;Solista;Pop;Reino Unido
La Sonora de Tommy Rey ;2013;Hombre;Grupo;Cumbia ;Chile
Wisin & Yandel ;2013;Hombre;Duo;Reggaeton;Puerto Rico
Gloria Trevi;2013;Mujer;Solista;Pop latino / rock;México
Pablo Alborán;2013;Hombre;Solista;Pop;España
Los Auténticos Decadentes ;2013;Hombre;Grupo;Rock / ska;Argentina
Diego Torres;2012;Hombre;Solista;Pop latino;Argentina
Luis Miguel ;2012;Hombre;Solista;Pop latino / bolero / marichi;México
Camila;2012;Hombre;Grupo;Pop rock;México
Marc Anthony ;2012;Hombre;Solista;Salsa;Estados Unidos/ Puerto Rico
Daniel Muñoz;2012;Hombre;Solista;Cueca urbana ;Chile
Salvatore Adamo ;2012;Hombre;Solista;Balada Romántica / pop;Italia / Bélgica
Morrissey ;2012;Hombre;Solista;Rock alternativo;Inglaterra
Los Bunkers;2012;Hombre;Grupo;Rock alternativo;Chile
Manuel García;2012;Hombre;Solista;Rock / trova / folk;Chile
Garras de Amor;2012;Hombre;Grupo;Cumbia Romántica;Argentina
Ráfaga ;2012;Hombre;Grupo;Cumbia ;Argentina
Luis Fonsi ;2012;Hombre;Solista;Pop latino;Puerto Rico
Rosana ;2012;Mujer;Solista;Pop latino / folk pop;España
Prince Royce ;2012;Hombre;Solista;Bachata;Estados Unidos
José Luis Perales ;2012;Hombre;Solista;Balada / jazz;España
Juan Luis Guerra;2012;Hombre;Solista;Bachata;República Dominicana
Roberto Carlos;2011;Hombre;Solista;Balada / rock / bossa nova;Brasil
Yuri;2011;Mujer;Solista;Pop latino;México
Américo;2011;Hombre;Solista;Cumbia tropical ;Chile
Aventura;2011;Hombre;Grupo;Bachata;República Dominicana
Marco Antonio Solis;2011;Hombre;Solista;Balada Romántica / pop;México
Calle 13 ;2011;Mixto;Grupo;Rap fusión latino;Puerto Rico
Chayanne;2011;Hombre;Solista;Pop latino;Puerto Rico
Carlos Baute;2011;Hombre;Solista;Pop;Venezuela
Pitbull;2011;Hombre;Solista;Hip hop / reggaeton;Estados Unidos
Sting;2011;Hombre;Solista;Pop rock;Reino Unido
Los Jaivas;2011;Mixto;Grupo;Rock folclórico;Chile
Alejandro Sanz;2011;Hombre;Solista;Balada romántica;España
Noel Schajris;2011;Hombre;Solista;Pop latino / balada romántica;Argentina / México
Villa Cariño y Los Vikings 5;2011;Hombre;Grupo;Cumbia ;Chile
Reik;2010;Hombre;Grupo;Pop latino;México
Don Omar ;2010;Hombre;Solista;Reggaeton;Puerto Rico
Raphael;2010;Hombre;Solista;Balada;España
Miranda!;2010;Mixto;Duo;Electropop;Argentina / México
Américo;2010;Hombre;Solista;Cumbia tropical ;Chile
Paul Anka;2010;Hombre;Solista;Pop / jazz;Canadá
Tito el Bambino;2010;Hombre;Solista;Reggaeton;Puerto Rico
La Noche ;2010;Hombre;Grupo;Tropical / cumbia ;Chile
Ricardo Arjona;2010;Hombre;Solista;Pop latino ;Guatemala
Fanny Lu;2010;Mujer;Solista;Pop latino / tropipop;Colombia 
Joan Manuel Serrat;2009;Hombre;Solista;Folk / pop melódico;España
La Noche ;2009;Hombre;Grupo;Tropical / cumbia ;Chile
Juanes ;2009;Hombre;Solista;Pop latino / rock;Colombia 
Camila;2009;Hombre;Grupo;Pop rock;México
Fernando Ubiergo;2009;Hombre;Solista;Nueva canción chilena / balada;Chile
K.C and the Sunshine Band;2009;Mixto;Grupo;Funk / disco;Estados Unidos
Carlos Santana;2009;Hombre;Solista;Rock / música latina;México
Roger Hodgson;2009;Hombre;Solista;Rock progresivo;Inglaterra
Simply Red;2009;Hombre;Grupo;Soul / pop;Inglaterra
Paolo Meneguzzi;2009;Hombre;Solista;Pop ;Suiza
R.K.M . & Ken-Y;2009;Hombre;Duo;Reggaeton;Puerto Rico
Luis Fonsi;2009;Hombre;Solista;Pop latino;Puerto Rico
Daddy Yankee;2009;Hombre;Solista;Reggaeton;Puerto Rico
Natalino ;2009;Hombre;Solista;Balada pop romántica ;Chile
Marc Anthony;2009;Hombre;Solista;Salsa;Estados Unidos / Puerto Rico
Miguel Bosé;2008;Hombre;Solista;Pop / baladas;España
Six Pack (Karkú);2008;Mixto;Grupo;Pop;Chile
Earth, Wind & Fire;2008;Hombre;Grupo;Funk / soul / disco;Estados Unidos
Journey;2008;Hombre;Grupo;Rock;Estados Unidos 
Sinergia;2008;Hombre;Grupo;Metal alternativo;Chile
Peter Frampton;2008;Hombre;Solista;Rock;Inglaterra
Franco De Vita;2008;Hombre;Solista;Pop latino;Venezuela
